球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
达柳斯-桑盖拉,21,327,48.40%,46,95,0.00%,0,2,89.70%,26,29,53,13,6,2,17,63,118
阿尔蒙德-希尔,16,437,40.50%,47,116,0.00%,0,0,82.10%,23,28,26,72,18,2,39,54,117
德文-布朗,33,317,38.00%,38,100,36.80%,14,38,61.90%,26,42,50,21,6,1,20,33,116
萨马基-沃克,48,497,42.90%,45,105,100.00%,1,1,67.60%,25,37,151,11,5,21,24,80,116
杰拉德-亨德森,15,353,37.00%,44,119,25.00%,7,28,69.00%,20,29,51,26,10,4,11,33,115
汤姆-古格里奥塔,12,335,39.30%,46,117,75.00%,3,4,69.00%,20,29,58,26,19,6,19,34,115
洛伦岑-怀特,15,363,49.50%,50,101,0.00%,0,0,65.20%,15,23,79,16,8,9,13,40,115
詹姆斯-约翰逊,24,319,46.70%,42,90,46.40%,13,28,54.50%,18,33,54,32,10,6,19,44,115
马尔科姆-布罗格登,13,370,41.80%,46,110,37.50%,15,40,80.00%,8,10,50,38,4,2,24,26,115
Charles0Pittman,21,336,56.80%,42,74,0.00%,0,1,65.20%,30,46,83,21,5,8,25,41,114
罗伯-威廉姆斯,12,283,44.60%,45,101,43.80%,7,16,89.50%,17,19,32,61,11,2,27,46,114
奥塞拉-哈宁顿,28,275,50.60%,44,87,0.00%,0,1,67.60%,25,37,57,6,6,4,16,41,113
德里克-怀特,10,211,54.30%,44,81,31.60%,6,19,73.10%,19,26,21,22,6,7,15,17,113
乔纳森-本德,34,305,41.20%,40,97,36.10%,13,36,67.90%,19,28,42,9,5,19,17,30,112
伊托万-摩尔,21,315,44.10%,45,102,35.70%,10,28,66.70%,12,18,29,18,8,2,12,23,112
卡里姆-拉什,31,379,38.30%,41,107,39.30%,24,61,85.70%,6,7,19,19,11,3,17,35,112
布林-福布斯,17,338,40.40%,38,94,38.80%,19,49,77.30%,17,22,34,12,1,2,5,22,112
沃恩-韦弗,17,191,42.40%,42,99,39.10%,9,23,86.40%,19,22,14,9,2,1,12,12,112
詹姆斯-恩尼斯,13,299,50.00%,40,80,28.90%,11,38,77.80%,21,27,51,15,7,3,14,40,112
史蒂夫-约翰逊,13,246,40.70%,37,91,0.00%,0,0,62.70%,37,59,57,6,4,2,20,40,111
威尔森-钱德勒,15,373,33.10%,40,121,23.90%,11,46,80.00%,20,25,61,12,13,7,14,47,111
查克-吉尔摩,18,0,23.60%,43,182,0.00%,0,0,64.10%,25,39,0,14,0,0,0,80,111
约什-麦克罗伯茨,25,382,42.10%,40,95,30.80%,8,26,85.20%,23,27,75,31,13,8,17,51,111
约翰-巴恩希尔,21,421,40.70%,46,113,0.00%,0,0,61.30%,19,31,41,44,0,0,0,42,111
约翰-诺兰德,17,0,31.70%,39,123,0.00%,0,0,76.70%,33,43,0,9,0,0,0,38,111
肯-查尔斯,18,456,41.20%,47,114,0.00%,0,0,70.80%,17,24,41,32,13,11,0,60,111
Corky0Devlin,11,300,43.10%,47,109,0.00%,0,0,61.50%,16,26,26,28,0,0,0,26,110
雅各布-珀尔特尔,22,343,57.70%,45,78,0.00%,0,2,66.70%,20,30,102,18,6,10,11,54,110
安托万-怀特,28,347,47.00%,39,83,40.70%,11,27,83.30%,20,24,37,11,8,6,11,44,109
福特斯-沃克,22,330,42.30%,41,97,0.00%,0,0,81.80%,27,33,35,64,14,4,0,37,109
贾森-卡菲,35,464,40.60%,39,96,0.00%,0,0,68.90%,31,45,116,29,6,8,27,71,109
亚历克-伯克斯,13,182,40.20%,37,92,40.90%,9,22,86.20%,25,29,35,20,6,1,11,13,108
马里克-希利,14,289,41.50%,39,94,22.20%,2,9,73.70%,28,38,29,13,3,1,16,25,108
John0Logan,10,0,27.60%,34,123,0.00%,0,0,75.00%,39,52,0,19,0,0,0,36,107
唐纳德-洛耶尔,36,424,42.10%,32,76,0.00%,0,0,70.50%,43,61,52,16,6,3,24,44,107
胡布-里德,21,319,40.60%,43,106,0.00%,0,0,70.00%,21,30,103,16,0,0,0,56,107
艾德-戴维斯,33,391,50.00%,41,82,0.00%,0,2,56.80%,25,44,152,16,3,13,18,58,107
凯文-兰西,14,306,38.50%,45,117,40.00%,2,5,73.70%,14,19,25,64,9,3,22,33,106
加里-菲利普斯,17,288,31.90%,36,113,0.00%,0,0,66.70%,34,51,27,21,0,0,0,42,106
哈维-格兰特,19,413,43.70%,45,103,35.30%,6,17,50.00%,10,20,53,13,4,9,8,30,106
布莱恩-斯卡拉布莱恩,39,415,43.70%,38,87,46.30%,19,41,78.60%,11,14,52,15,6,8,15,67,106
拉尔斐-辛普森,17,252,41.30%,45,109,0.00%,0,0,69.60%,16,23,24,41,4,2,0,21,106
乔治-邓普斯,25,339,43.70%,38,87,0.00%,0,0,59.20%,29,49,64,35,0,0,0,35,105
卡里斯-勒夫特,5,144,49.30%,36,73,46.20%,12,26,72.40%,21,29,23,15,5,2,10,8,105
布迪-珍妮特,14,0,43.20%,32,74,0.00%,0,0,89.10%,41,46,0,17,0,0,0,56,105
布鲁斯-希欧斯,15,273,40.00%,42,105,0.00%,0,0,63.60%,21,33,56,11,7,8,0,36,105
杰里-弗雷什曼,22,0,28.20%,37,131,0.00%,0,0,63.30%,31,49,0,19,0,0,0,45,105
菲尔-乔丹,16,243,36.40%,36,99,0.00%,0,0,78.60%,33,42,51,14,0,0,0,34,105
埃里克-梅诺,23,296,36.10%,35,97,32.30%,10,31,80.00%,24,30,31,46,10,1,21,21,104
斯坦-斯图茨,11,0,27.40%,32,117,0.00%,0,0,81.60%,40,49,0,8,0,0,0,31,104
艾米-乌度卡,21,340,44.00%,40,91,35.40%,17,48,58.30%,7,12,70,21,15,3,13,39,104
达夫-皮昂特克,25,325,35.40%,40,113,0.00%,0,0,64.90%,24,37,70,20,0,0,0,44,104
杰克-莫兰,14,223,48.90%,44,90,0.00%,0,0,68.20%,15,22,62,16,0,0,0,50,103
比尔-克洛斯,11,0,29.30%,36,123,0.00%,0,0,81.60%,31,38,0,23,0,0,0,32,103
安德里亚-巴尼亚尼,11,285,41.20%,35,85,33.30%,11,33,81.00%,17,21,31,8,9,6,9,31,98
杰森-卡波诺,10,231,55.70%,39,70,53.60%,15,28,83.30%,5,6,18,6,4,0,3,18,98
麦考伊-麦克莱默,18,239,37.40%,34,91,0.00%,0,0,78.90%,30,38,49,17,0,0,0,31,98
Chink0Crossin,14,0,35.50%,38,107,0.00%,0,0,84.00%,21,25,0,17,0,0,0,24,97
德安吉洛-拉塞尔,5,148,36.30%,37,102,32.40%,12,37,84.60%,11,13,18,18,7,1,14,12,97
斯坦-马赛克,8,0,37.50%,36,96,0.00%,0,0,59.50%,25,42,0,4,0,0,0,38,97
蒂姆-哈达威二世,15,289,31.50%,34,108,23.20%,13,56,64.00%,16,25,25,14,3,1,13,15,97
迈克-格伦,22,295,45.30%,39,86,0.00%,0,2,90.50%,19,21,26,19,9,0,16,28,97
Boo0Ellis,16,291,41.10%,37,90,0.00%,0,0,56.40%,22,39,105,18,0,0,0,37,96
史蒂夫-弗朗西斯,5,222,42.90%,30,70,41.20%,7,17,72.50%,29,40,42,38,7,1,21,18,96
拉里-南斯0Jr.,20,308,68.30%,41,60,0.00%,0,1,45.20%,14,31,90,18,16,14,12,35,96
比尔-特纳,22,284,42.50%,37,87,0.00%,0,0,71.00%,22,31,62,18,0,0,0,47,96
约翰-威廉姆斯,13,332,43.80%,35,80,40.00%,2,5,58.50%,24,41,54,30,15,4,20,38,96
马克-兰斯伯格,41,433,36.80%,42,114,0.00%,0,2,60.00%,12,20,151,7,4,4,21,77,96
弗雷德-范弗里特,21,324,35.50%,33,93,26.80%,15,56,73.70%,14,19,28,43,5,3,12,28,95
拉里·德鲁,31,293,44.70%,38,85,27.80%,5,18,82.40%,14,17,15,50,11,0,18,33,95
泰勒-泽勒,25,268,52.70%,39,74,0.00%,0,0,73.90%,17,23,66,15,6,8,11,24,95
达里克-马丁,25,299,30.10%,28,93,33.30%,12,36,77.10%,27,35,20,43,5,0,14,31,95
马里克-比斯利,10,235,41.90%,31,74,44.70%,17,38,64.00%,16,25,42,13,3,1,6,13,95
罗恩-布恩,8,226,48.10%,37,77,0.00%,0,0,95.20%,20,21,15,14,9,0,14,28,94
乔治-卡夫腾,21,0,38.10%,32,84,0.00%,0,0,64.40%,29,45,36,24,0,0,0,48,93
卡洛斯-阿罗约,34,362,38.80%,38,98,0.00%,0,5,77.30%,17,22,28,65,8,2,17,38,93
泰德-麦克莱恩,25,304,41.10%,37,90,0.00%,0,0,79.20%,19,24,36,50,21,2,0,36,93
马克-布朗特,22,369,46.70%,35,75,0.00%,0,0,69.70%,23,33,86,8,19,18,23,50,93
鲍伯-詹汉,17,0,38.30%,31,81,0.00%,0,0,40.80%,31,76,54,38,0,0,0,81,93
威利-诺伍德,14,290,46.90%,38,81,0.00%,0,0,69.60%,16,23,45,13,8,3,0,43,92
布奇-范布雷德-考尔夫,15,0,31.80%,28,88,0.00%,0,0,72.00%,36,50,0,13,0,0,0,29,92
扎伊德-阿卜杜勒-阿齐兹,18,210,52.90%,37,70,0.00%,0,0,69.20%,18,26,64,9,0,0,0,12,92
昆顿-罗斯,12,294,53.40%,39,73,0.00%,0,0,87.50%,14,16,32,9,7,8,9,36,92
杰克-凯利斯,11,0,34.90%,30,86,0.00%,0,0,58.20%,32,55,0,24,0,0,0,47,92
比姆博-科尔斯,11,195,52.50%,32,61,28.60%,2,7,78.80%,26,33,22,25,10,1,16,21,92
沙蒙德-威廉姆斯,15,235,47.20%,34,72,45.80%,11,24,72.20%,13,18,18,32,11,1,16,15,92
皮特-奇尔卡特,21,333,47.10%,32,68,37.80%,14,37,73.70%,14,19,61,18,7,4,12,39,92
约迪-米克斯,28,285,35.80%,29,81,26.80%,11,41,92.00%,23,25,24,9,9,2,10,25,92
罗伊德-尼尔,22,253,44.00%,37,84,0.00%,0,0,66.70%,18,27,81,19,2,12,0,39,92
埃利奧特-佩里,19,187,46.60%,34,73,33.30%,2,6,77.80%,21,27,16,29,10,0,10,13,91
帕特-康诺顿,20,285,45.60%,36,79,28.30%,13,46,100.00%,6,6,62,22,4,7,7,18,91
艾德-迈肯,11,0,25.80%,31,120,0.00%,0,0,82.90%,29,35,0,8,0,0,0,36,91
乔丹-克拉克森,19,284,30.10%,37,123,23.90%,11,46,83.30%,5,6,32,13,8,3,13,21,90
索恩-马克,16,314,35.30%,30,85,19.00%,8,42,81.50%,22,27,51,21,7,26,15,49,90
安东尼-鲍威,40,310,48.00%,36,75,71.40%,5,7,92.30%,12,13,29,33,5,3,14,47,89
斯科特·布鲁克斯,34,355,38.20%,29,76,43.50%,10,23,75.00%,21,28,24,57,12,0,21,42,89
肯尼-沃克,26,355,41.90%,31,74,0.00%,0,1,73.00%,27,37,57,15,4,11,9,63,89
肯尼-菲尔兹,12,158,55.10%,38,69,33.30%,1,3,52.20%,12,23,28,10,8,0,16,23,89
艾德-拉特莱弗,8,291,41.40%,36,87,0.00%,0,0,85.00%,17,20,53,35,14,1,0,31,89
加里-特伦特,28,231,39.80%,35,88,0.00%,0,3,58.10%,18,31,41,8,2,1,16,39,88
Dike0Eddleman,12,0,38.10%,32,84,0.00%,0,0,48.90%,23,47,0,13,0,0,0,45,87
奈格勒-奈特,17,198,42.20%,35,83,16.70%,1,6,84.20%,16,19,13,28,4,1,14,17,87
弗朗西斯科-埃尔森,30,371,58.10%,36,62,0.00%,0,1,68.20%,15,22,85,6,14,7,25,68,87
所罗门-希尔,17,313,41.10%,23,56,48.60%,17,35,92.30%,24,26,45,15,3,1,9,37,87
托尼-史密斯,27,250,42.00%,34,81,33.30%,9,27,55.60%,10,18,21,22,11,1,22,34,87
杰纳-万斯,10,0,24.20%,32,132,0.00%,0,0,69.70%,23,33,0,17,0,0,0,43,87
皮特-梅耶斯,24,329,47.90%,34,71,16.70%,1,6,54.50%,18,33,32,37,12,6,21,33,87
科斯塔-库佛斯,37,332,46.30%,37,80,100.00%,1,1,80.00%,12,15,95,9,9,15,11,41,87
阿特-希尔豪斯,10,0,26.40%,24,91,0.00%,0,0,84.80%,39,46,0,8,0,0,0,41,87
伊唐-托马斯,18,252,55.90%,33,59,0.00%,0,0,54.10%,20,37,69,3,4,12,16,37,86
凯文-奥利,42,330,40.00%,28,70,50.00%,1,2,93.50%,29,31,27,61,7,0,16,24,86
约翰-威廉姆斯,4,123,42.00%,34,81,0.00%,0,0,84.20%,16,19,8,9,4,0,18,15,86
阿兰·布里斯托,20,242,43.80%,32,73,0.00%,0,0,61.10%,22,36,42,42,13,5,0,33,86
佩罗-安蒂奇,22,369,25.00%,23,92,24.60%,14,57,75.80%,25,33,70,9,7,6,13,64,85
拉沃伊-阿伦,25,306,52.00%,39,75,0.00%,0,0,58.30%,7,12,80,6,11,12,7,33,85
斯科特-伯勒尔,23,273,44.70%,34,76,28.60%,6,21,84.60%,11,13,46,11,21,3,11,33,85
杰森-史密斯,26,299,47.20%,34,72,27.30%,3,11,77.80%,14,18,51,8,5,12,12,46,85
科里-布朗特,37,487,47.80%,32,67,0.00%,0,1,60.00%,21,35,141,13,14,12,21,79,85
马克-麦德森,49,448,40.30%,31,77,0.00%,0,2,46.00%,23,50,98,18,8,8,18,80,85
Alfred0McGuire,24,339,37.30%,31,83,0.00%,0,0,51.20%,22,43,28,30,0,0,0,60,84
唐-巴克斯代尔,13,228,38.20%,29,76,0.00%,0,0,81.30%,26,32,62,17,0,0,0,40,84
布莱恩-库克,31,206,35.10%,33,94,33.30%,9,27,100.00%,9,9,52,12,4,2,12,39,84
弗朗西斯科-加西亚,14,227,43.30%,29,67,40.90%,18,44,72.70%,8,11,24,10,6,7,4,29,84
拉蒙德-穆雷,14,262,36.50%,27,74,33.30%,14,42,88.90%,16,18,49,5,5,3,7,32,84
艾德-内里,33,376,44.10%,30,68,33.30%,5,15,70.40%,19,27,91,15,14,1,10,66,84
丹特-埃萨姆,17,199,45.60%,31,68,31.60%,6,19,83.30%,15,18,20,19,6,1,18,25,83
乔-霍兰德,10,0,39.20%,38,97,0.00%,0,0,36.80%,7,19,0,26,0,0,0,39,83
加里-布罗考,6,152,57.10%,32,56,0.00%,0,0,79.20%,19,24,15,36,5,4,0,17,83
斯科特-帕吉特,30,291,40.50%,32,79,31.40%,11,35,72.70%,8,11,65,15,10,6,18,44,83
比尔-罗宾,8,187,46.70%,35,75,0.00%,0,0,72.20%,13,18,54,3,16,0,14,26,83
蒙蒂-威廉姆斯,30,264,46.60%,34,73,0.00%,0,2,57.70%,15,26,56,10,5,2,18,29,83
马克-穆斯卡拉,27,255,47.90%,35,73,22.20%,4,18,90.00%,9,10,51,6,2,7,8,31,83
马里克-阿伦,29,324,40.40%,38,94,0.00%,0,0,58.30%,7,12,59,12,6,16,17,52,83
劳伊-奥特,15,207,53.10%,34,64,50.00%,2,4,75.00%,12,16,64,6,11,4,11,24,82
汤姆-博斯威尔,20,259,55.90%,33,59,0.00%,0,0,66.70%,16,24,54,25,4,6,0,42,82
谢伊-吉尔杰斯-亚历山大,6,173,46.70%,28,60,50.00%,9,18,85.00%,17,20,16,19,6,5,5,17,82
迪克-罗森萨尔,11,209,32.10%,27,84,0.00%,0,0,71.80%,28,39,48,26,0,0,0,39,82
阿瑞尔-马汉,9,0,25.00%,32,128,0.00%,0,0,69.20%,18,26,0,4,0,0,0,25,82
马努特-波尔,29,496,38.60%,34,88,8.70%,2,23,44.40%,12,27,109,3,6,77,13,61,82
埃文-富尼耶,9,229,34.90%,30,86,19.00%,8,42,81.30%,13,16,16,14,9,0,18,20,81
约翰-汉森,14,272,53.60%,37,69,0.00%,0,2,41.20%,7,17,72,10,8,17,18,24,81
罗波特-考文顿,10,281,32.50%,27,83,31.30%,15,48,75.00%,12,16,53,25,11,9,11,30,81
艾迪-罗宾逊,14,237,50.00%,36,72,33.30%,1,3,100.00%,8,8,36,13,6,5,6,14,81
Red0Owens,8,0,29.20%,26,89,0.00%,0,0,68.30%,28,41,0,19,0,0,0,37,80
博班-马扬诺维奇,15,133,60.40%,29,48,0.00%,0,2,84.60%,22,26,48,14,2,5,15,27,80
德萨盖纳-迪奥普,28,547,61.10%,33,54,0.00%,0,0,56.00%,14,25,150,4,17,38,15,102,80
温-维尔冯,16,208,29.50%,26,88,0.00%,0,0,71.80%,28,39,47,28,0,0,0,31,80
罗波特-史密斯,26,208,45.60%,31,68,0.00%,0,0,84.20%,16,19,23,39,10,0,12,25,80
贾里德-萨林格,10,162,42.50%,34,80,38.50%,5,13,63.60%,7,11,55,8,1,3,11,28,80
OG-阿奴诺比,10,237,55.80%,29,52,44.80%,13,29,72.70%,8,11,21,7,6,4,6,23,79
Tex0Ritter,13,0,29.60%,21,71,0.00%,0,0,75.50%,37,49,0,10,0,0,0,42,79
克里斯-亨弗里斯,22,218,44.90%,31,69,50.00%,5,10,57.10%,12,21,67,6,4,11,7,36,79
安德鲁-威金斯,5,164,44.10%,30,68,33.30%,7,21,60.00%,12,20,26,10,2,2,9,14,79
约翰-海,18,282,41.30%,31,75,0.00%,0,3,53.10%,17,32,54,32,15,5,14,51,79
路易斯-阿蒙德森,29,294,52.40%,33,63,0.00%,0,0,44.80%,13,29,86,3,8,12,10,49,79
阿代尔-诺里斯,20,214,58.20%,32,55,0.00%,0,0,46.90%,15,32,71,12,7,8,18,43,79
奥利-约翰逊,16,209,42.90%,33,77,0.00%,0,0,100.00%,12,12,31,10,10,6,0,21,78
约翰-曼肯,18,0,21.10%,27,128,0.00%,0,0,80.00%,24,30,0,19,0,0,0,63,78
罗恩-默塞尔,11,252,40.00%,34,85,0.00%,0,0,83.30%,10,12,23,11,7,2,8,20,78
谢里尔-麦克米伦,9,168,39.40%,28,71,0.00%,0,0,75.90%,22,29,39,9,0,0,0,37,78
韦恩-艾灵顿,11,244,32.90%,25,76,36.20%,21,58,100.00%,7,7,25,10,5,2,7,14,78
拉里-麦克内尔,12,124,65.90%,29,44,0.00%,0,0,79.20%,19,24,28,2,3,2,0,23,77
斯科特-黑斯廷斯,44,256,56.00%,28,50,25.00%,3,12,72.00%,18,25,47,9,8,3,13,51,77
格雷格-安德森,17,273,47.70%,31,65,0.00%,0,0,48.40%,15,31,69,5,7,12,19,44,77
贾马里奥-穆恩,19,257,51.70%,30,58,48.30%,14,29,50.00%,3,6,49,10,11,9,4,19,77
鲁米尔-罗宾逊,16,216,41.00%,32,78,33.30%,6,18,58.30%,7,12,16,44,10,0,28,33,77
卡尔-安东尼-唐斯,5,171,46.70%,28,60,27.30%,3,11,73.90%,17,23,67,11,2,5,12,14,76
巴尼-卡鲍,11,248,39.20%,31,79,0.00%,0,0,56.00%,14,25,89,8,0,0,0,41,76
德里克-斯特朗,10,292,48.10%,26,54,0.00%,0,1,72.70%,24,33,74,7,6,3,20,29,76
艾德-弗莱明,13,178,35.10%,27,77,0.00%,0,0,88.00%,22,25,39,18,0,0,0,32,76
迪恩-加勒特,13,267,49.20%,30,61,0.00%,0,0,69.60%,16,23,62,9,5,8,3,35,76
阿隆-戈登,5,164,46.80%,29,62,40.00%,8,20,52.60%,10,19,36,18,6,1,13,16,76
霍华德-科密维斯,10,263,30.10%,31,103,0.00%,0,0,73.70%,14,19,25,38,0,0,0,35,76
T.J.0麦康诺,17,216,61.40%,35,57,66.70%,2,3,60.00%,3,5,31,34,8,1,6,17,75
Tal0Skinner,15,297,42.40%,25,59,0.00%,0,0,73.50%,25,34,53,19,14,4,0,35,75
Wah0Wah0Jones,6,0,30.30%,23,76,0.00%,0,0,85.30%,29,34,0,22,0,0,0,28,75
斯宾瑟-丁维迪,6,132,44.40%,28,63,37.50%,9,24,71.40%,10,14,13,9,2,0,8,10,75
理查德-华盛顿,11,164,53.70%,36,67,0.00%,0,0,50.00%,3,6,33,3,5,9,9,39,75
Mike0O'Koren,20,333,37.40%,34,91,0.00%,0,3,60.00%,6,10,61,33,6,5,20,59,74
乔-霍拉普,15,258,28.20%,24,85,0.00%,0,0,74.30%,26,35,64,7,0,0,0,30,74
乔丹-克劳福德,13,131,39.10%,27,69,29.60%,8,27,75.00%,12,16,16,3,4,0,11,11,74
兰迪-布朗,47,281,38.60%,27,70,50.00%,3,6,73.90%,17,23,29,22,15,3,18,46,74
哈维-凯奇,53,556,39.70%,31,78,0.00%,0,0,50.00%,12,24,154,23,3,49,0,99,74
扎克-科林斯,12,192,49.20%,31,63,25.00%,5,20,77.80%,7,9,42,12,8,8,15,36,74
达尔文-哈姆,54,407,56.90%,29,51,0.00%,0,2,51.60%,16,31,65,13,8,19,21,74,74
克里斯-科普兰,21,175,41.40%,24,58,43.60%,17,39,72.70%,8,11,14,2,8,3,9,22,73
博-奥特洛,22,416,44.60%,29,65,0.00%,0,1,35.70%,15,42,88,27,11,19,27,57,73
富兰克林-爱德华兹,21,133,48.10%,25,52,100.00%,1,1,84.60%,22,26,14,22,8,0,8,7,73
克米特-华盛顿,9,263,50.00%,30,60,0.00%,0,0,70.60%,12,17,93,14,10,6,0,18,72
肖恩-卢克斯,29,253,49.00%,24,49,0.00%,0,0,68.60%,24,35,42,11,7,11,13,60,72
迪克-奥克非,13,0,35.60%,26,73,0.00%,0,0,71.40%,20,28,0,16,0,0,0,47,72
埃尔文-穆勒,17,334,32.90%,28,85,0.00%,0,0,53.60%,15,28,68,27,0,0,0,39,71
托比-金宝尔,14,237,41.80%,28,67,0.00%,0,0,55.60%,15,27,83,6,0,0,0,21,71
斯马什-帕克,12,317,30.60%,26,85,15.60%,5,32,100.00%,14,14,28,14,18,2,15,32,71
杰里-钱伯斯,14,139,42.00%,29,69,0.00%,0,0,76.50%,13,17,30,8,0,0,0,17,71
比利-奈特,10,153,46.40%,32,69,0.00%,0,4,70.00%,7,10,21,10,3,0,9,9,71
沃恩-加德纳,7,0,36.60%,26,71,0.00%,0,0,82.60%,19,23,0,5,0,0,0,33,71
约翰-克罗蒂,36,269,37.10%,23,62,41.20%,7,17,85.70%,18,21,23,35,9,3,20,30,71
迈克尔-多里亚克,31,275,41.10%,30,73,0.00%,0,1,84.60%,11,13,69,4,5,2,12,49,71
Ralph0Johnson,9,0,32.20%,28,87,0.00%,0,0,73.70%,14,19,0,22,0,0,0,41,70
唐-奥顿,5,0,35.30%,18,51,0.00%,0,0,81.00%,34,42,0,14,0,0,0,22,70
埃里克-斯特里克兰,20,201,33.80%,22,65,16.70%,5,30,91.30%,21,23,25,34,8,1,13,21,70
多雷尔-怀特,20,223,38.90%,21,54,32.00%,8,25,83.30%,20,24,41,14,5,9,11,13,70
安德里斯-比德林斯,14,284,73.00%,27,37,0.00%,0,0,53.30%,16,30,76,6,8,19,10,35,70
杜德利-布拉德利,30,212,39.40%,26,66,22.70%,5,22,72.20%,13,18,14,22,13,1,23,35,70
梅耶斯-伦纳德,20,213,54.90%,28,51,50.00%,12,24,50.00%,2,4,61,8,3,2,8,36,70
科特-尼姆费斯,25,306,40.00%,26,65,0.00%,0,0,78.30%,18,23,81,18,2,19,14,52,70
贾巴里-帕克,7,167,45.20%,28,62,31.60%,6,19,61.50%,8,13,43,10,7,4,6,15,70
鲍伯-道尔,10,0,18.50%,24,130,0.00%,0,0,57.90%,22,38,0,5,0,0,0,29,70
Lou-西奥罗普洛斯,11,239,29.40%,25,85,0.00%,0,0,65.50%,19,29,64,14,0,0,0,40,69
史蒂夫-布雷西,10,137,50.00%,27,54,0.00%,0,0,75.00%,15,20,14,23,0,0,0,14,69
戴维斯-贝尔坦斯,23,273,33.30%,20,60,29.80%,14,47,68.20%,15,22,39,14,5,5,8,27,69
李-耐龙,9,160,45.80%,27,59,0.00%,0,1,78.90%,15,19,24,6,3,0,7,17,69
汤姆-哈蒙德,21,226,45.10%,23,51,0.00%,0,0,71.90%,23,32,44,5,0,3,10,40,69
塔里克-阿卜杜-瓦哈德,13,178,38.10%,24,63,0.00%,0,3,83.30%,20,24,41,11,4,4,4,14,68
威利-怀特,14,144,45.30%,29,64,42.90%,3,7,58.30%,7,12,20,23,6,0,18,10,68
布拉德-罗浩斯,20,224,42.60%,29,68,34.60%,9,26,50.00%,1,2,42,7,9,10,13,27,68
格兰迪-刘易斯,11,0,21.10%,23,109,0.00%,0,0,75.90%,22,29,0,9,0,0,0,49,68
汤姆-亚伯内替,13,226,40.70%,22,54,0.00%,0,0,82.80%,24,29,42,23,7,2,0,18,68
汤姆-拉格拉德,23,240,41.50%,27,65,0.00%,0,0,77.80%,14,18,58,19,2,2,16,37,68
米洛-科梅尼齐,8,0,24.30%,26,107,0.00%,0,0,57.10%,16,28,0,14,0,0,0,36,68
约翰-兰伯特,28,250,40.00%,30,75,0.00%,0,0,80.00%,8,10,60,11,8,6,0,35,68
肯尼-加蒂松,13,245,50.00%,27,54,0.00%,0,0,48.30%,14,29,51,13,7,1,12,34,68
Louie0Dampier,15,246,43.30%,29,67,0.00%,0,0,60.00%,9,15,15,32,8,4,0,19,67
乔丹-希尔,20,256,42.40%,28,66,0.00%,0,0,68.80%,11,16,93,4,3,10,7,35,67
凯文-卡托,21,264,49.10%,26,53,0.00%,0,1,53.60%,15,28,60,5,7,12,11,45,67
卡尔伯特-钱尼,8,242,41.20%,28,68,0.00%,0,2,68.80%,11,16,18,12,5,3,12,25,67
史蒂夫-哈里斯,24,174,41.70%,30,72,0.00%,0,1,63.60%,7,11,17,7,7,3,5,18,67
德兰尼-路德,24,187,41.50%,27,65,26.90%,7,26,60.00%,6,10,9,49,7,0,10,27,67
沃尔特-戴维斯,21,172,39.10%,25,64,0.00%,0,0,77.30%,17,22,69,7,0,0,0,51,67
科迪-泽勒,11,190,51.10%,24,47,0.00%,0,0,76.00%,19,25,46,4,1,6,9,23,67
陶林-普林斯,6,187,55.80%,29,52,28.60%,4,14,100.00%,5,5,32,8,2,1,7,9,67
马克-杰克逊,12,176,42.30%,22,52,0.00%,0,1,76.70%,23,30,41,8,4,3,15,29,67
Charles0Jones__,44,591,42.60%,23,54,0.00%,0,1,55.60%,20,36,108,13,13,31,17,115,66
威尔-拜纳姆,7,109,47.20%,25,53,33.30%,2,6,93.30%,14,15,9,13,7,1,13,15,66
斯蒂文-亨特,24,259,50.00%,27,54,0.00%,0,0,52.20%,12,23,43,4,1,21,9,35,66
查克-海耶斯,31,515,54.40%,31,57,0.00%,0,5,57.10%,4,7,120,20,28,11,16,72,66
贾尔维斯-海耶斯,15,200,31.60%,24,76,36.40%,12,33,85.70%,6,7,30,8,3,3,4,23,66
帕特里克-麦考,25,216,43.10%,22,51,32.00%,8,25,86.70%,13,15,38,16,12,3,4,17,65
罗波特-特雷勒,22,245,45.90%,28,61,0.00%,0,1,52.90%,9,17,70,11,10,13,16,57,65
凯文-爱德华兹,7,203,36.50%,23,63,0.00%,0,2,81.80%,18,22,23,16,7,1,14,12,64
吉姆-巴恩斯,11,200,41.30%,26,63,0.00%,0,0,66.70%,12,18,61,6,0,0,0,35,64
菲尔-哈巴德,8,123,49.00%,25,51,100.00%,1,1,72.20%,13,18,23,3,3,0,8,17,64
埃尔德里奇-雷卡斯那,17,227,38.20%,21,55,45.80%,11,24,71.40%,10,14,17,21,4,0,11,16,63
托瑞-克雷格,10,231,48.90%,23,47,50.00%,13,26,40.00%,4,10,51,9,6,3,5,27,63
特雷西-穆雷,7,103,53.80%,21,39,38.50%,5,13,94.10%,16,17,12,3,6,2,2,14,63
迈尔-里艾比,6,0,28.70%,23,80,0.00%,0,0,65.40%,17,26,0,5,0,0,0,13,63
鲍勃-苏拉,13,231,42.60%,23,54,46.70%,7,15,66.70%,10,15,31,21,9,0,17,23,63
