球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
约翰-道金斯,13,439,42.80%,59,138,0.00%,0,9,83.00%,39,47,25,98,19,2,30,24,157
Chick0Reiser,16,0,25.70%,49,191,0.00%,0,0,79.50%,58,73,0,20,0,0,0,72,156
唐-亚当斯,22,566,38.20%,63,165,0.00%,0,0,68.20%,30,44,116,45,0,0,0,74,156
考比-迪特里克,28,522,44.50%,73,164,0.00%,0,0,50.00%,10,20,114,39,20,11,0,82,156
鲍伯-拉沃伊,20,0,34.50%,50,145,0.00%,0,0,75.30%,55,73,121,30,0,0,0,74,155
迈克尔-库里,36,683,48.00%,61,127,33.30%,8,24,77.40%,24,31,41,36,15,5,14,86,154
康尼尔-迪尔金,20,352,39.90%,63,158,0.00%,0,0,77.10%,27,35,129,23,0,0,0,45,153
泰鲁斯-托马斯,21,385,45.70%,59,129,0.00%,0,1,70.00%,35,50,100,14,19,27,30,55,153
特里-泰勒,17,272,45.50%,61,134,0.00%,0,1,77.50%,31,40,55,8,8,10,11,26,153
罗伊-辛森,9,279,57.00%,57,100,0.00%,0,0,63.90%,39,61,53,6,7,19,10,36,153
赫伯-威廉姆斯,57,538,46.90%,61,130,0.00%,0,0,73.80%,31,42,78,17,10,25,25,83,153
史蒂夫-柯尔特,24,407,47.20%,68,144,23.10%,3,13,61.90%,13,21,47,77,14,4,21,49,152
拉尔斐-卡普洛维茨,23,0,28.30%,54,191,0.00%,0,0,78.60%,44,56,0,13,0,0,0,47,152
拉素尔-巴特勒,43,483,40.70%,55,135,41.70%,30,72,85.70%,12,14,52,12,4,6,10,52,152
欧米尔-阿西克,37,724,48.60%,53,109,0.00%,0,0,54.80%,46,84,204,22,14,32,43,96,152
艾德-萨多夫斯基,8,0,33.80%,47,139,0.00%,0,0,68.20%,58,85,0,14,0,0,0,33,152
迪昂-维特斯,18,490,41.70%,55,132,37.50%,21,56,66.70%,20,30,47,42,10,3,20,42,151
厄尔-塔图姆,11,356,50.00%,67,134,0.00%,0,0,66.70%,16,24,54,27,15,9,0,34,150
厄尔尼-格雷格里奥,15,457,45.30%,67,148,0.00%,0,0,94.10%,16,17,29,97,6,2,0,43,150
西德尼-格林,43,506,43.00%,58,135,0.00%,0,0,65.40%,34,52,149,18,5,7,28,80,150
达雷尔-亚瑟,28,376,46.40%,64,138,33.30%,1,3,80.80%,21,26,67,13,9,16,19,66,150
迈克-詹姆斯,33,394,42.50%,54,127,28.60%,8,28,81.00%,34,42,40,41,13,2,26,40,150
迪克-法利,22,370,41.40%,58,140,0.00%,0,0,59.60%,34,57,40,51,0,0,0,66,150
拉里-斯普里格斯,30,297,51.90%,55,106,0.00%,0,2,76.50%,39,51,68,40,5,6,33,50,149
维恩-海托,22,482,31.80%,56,176,0.00%,0,0,67.30%,37,55,107,26,0,0,0,67,149
尼克-杨,35,422,35.70%,46,129,37.80%,31,82,83.30%,25,30,26,8,6,4,10,39,148
约翰-舒马特,12,440,56.30%,63,112,0.00%,0,0,53.70%,22,41,90,30,13,17,0,38,148
肯尼思-法里德,18,388,58.10%,61,105,100.00%,1,1,75.80%,25,33,133,7,12,9,19,48,148
迪克-舒尔兹,25,0,20.30%,40,197,0.00%,0,0,70.80%,68,96,0,36,0,0,0,78,148
乔尔-安东尼,66,1150,48.10%,50,104,0.00%,0,0,74.60%,47,63,205,15,17,72,27,128,147
拉里-克里斯科维亚克,20,527,41.00%,50,122,0.00%,0,2,88.70%,47,53,109,30,10,3,24,53,147
杰拉米-格兰特,16,418,53.80%,57,106,38.20%,13,34,64.50%,20,31,67,14,8,15,13,35,147
鲁本-帕特森,22,367,47.70%,53,111,0.00%,0,7,71.90%,41,57,54,17,11,4,25,29,147
Monk0Meineke,25,508,35.10%,40,114,0.00%,0,0,75.00%,66,88,100,26,0,0,0,73,146
Paul0Hoffman,13,0,29.00%,49,169,0.00%,0,0,64.90%,48,74,0,18,0,0,0,49,146
哈桑-怀特塞德,15,365,62.90%,56,89,0.00%,0,0,59.60%,34,57,139,4,8,34,25,50,146
卢-希区,37,535,36.00%,45,125,0.00%,0,0,58.50%,55,94,167,32,0,0,0,64,145
贝诺特-本杰明,18,432,50.50%,50,99,0.00%,0,1,77.60%,45,58,100,7,10,34,24,53,145
唐-福特,20,481,44.30%,58,131,0.00%,0,0,71.80%,28,39,85,44,21,6,0,50,144
比利-麦吉尼,19,334,50.00%,59,118,0.00%,0,0,70.30%,26,37,29,60,10,0,27,31,144
路易斯-奥尔,22,393,39.20%,56,143,0.00%,0,0,84.20%,32,38,83,13,14,6,24,46,144
乔治-麦克劳德,14,342,45.40%,49,108,44.10%,26,59,65.50%,19,29,46,30,12,3,18,49,143
保罗-沃尔瑟,23,0,37.70%,40,106,0.00%,0,0,72.40%,63,87,0,35,0,0,0,59,143
肯-诺曼,13,390,42.80%,59,138,22.20%,4,18,45.70%,21,46,99,30,8,4,10,39,143
里德-霍兹曼,28,0,38.60%,56,145,0.00%,0,0,59.60%,31,52,0,36,0,0,0,27,143
吉姆-戴维斯,33,382,43.00%,49,114,0.00%,0,0,69.80%,44,63,92,16,0,0,0,62,142
卡尔-埃雷拉,41,502,45.10%,55,122,0.00%,0,2,71.10%,27,38,98,13,10,6,22,84,137
斯彼迪-克莱斯克顿,30,378,42.70%,50,117,0.00%,0,1,74.00%,37,50,46,59,21,5,27,46,137
肯特-本森,29,432,48.30%,56,116,0.00%,0,0,69.40%,25,36,94,14,18,14,17,72,137
蒂姆-佩里,23,302,57.60%,53,92,0.00%,0,0,59.60%,31,52,62,13,8,13,20,44,137
阿伦-克拉布,17,434,50.00%,51,102,40.00%,20,50,68.20%,15,22,47,18,10,2,8,33,137
阿兰-安德森,18,402,48.50%,50,103,40.40%,19,47,66.70%,18,27,53,22,14,1,18,41,137
凯文-威廉姆斯,21,332,47.30%,53,112,0.00%,0,4,75.00%,30,40,42,40,19,1,14,60,136
威尔-巴顿,17,307,38.80%,50,129,31.90%,15,47,70.00%,21,30,64,19,4,11,19,18,136
菲尔-福特,15,416,36.50%,50,137,0.00%,0,0,71.70%,33,46,26,85,22,0,44,30,136
约什-理查德森,19,516,37.20%,48,129,35.40%,23,65,76.20%,16,21,65,36,17,18,17,54,135
乔治-李,21,252,43.60%,48,110,0.00%,0,0,70.40%,38,54,58,19,0,0,0,32,134
里基-戴维斯,11,363,42.10%,48,114,36.80%,7,19,73.80%,31,42,37,28,11,2,33,30,134
凯尔-安德森,30,398,51.40%,56,109,23.50%,4,17,77.30%,17,22,83,35,22,6,14,29,133
朱梅因-琼斯,29,494,41.00%,55,134,22.20%,8,36,71.40%,15,21,89,19,10,11,14,37,133
波斯简-纳赫巴,18,323,42.30%,44,104,37.30%,19,51,96.30%,26,27,41,20,8,1,20,39,133
拉尔斐-贝尔德,8,0,37.40%,49,131,0.00%,0,0,75.60%,34,45,0,35,0,0,0,17,132
拉里-史密斯,31,657,50.00%,56,112,0.00%,0,1,69.00%,20,29,219,43,27,20,28,101,132
约纳斯-杰雷布科,38,469,43.70%,52,119,26.50%,13,49,88.20%,15,17,110,29,12,9,15,48,132
胡安-迪克森,18,289,39.50%,49,124,31.00%,13,42,84.00%,21,25,30,16,14,0,22,25,132
达纳-巴罗斯,30,263,51.00%,53,104,43.60%,17,39,75.00%,9,12,23,26,12,0,17,20,132
俾斯麦-比永博,23,556,58.10%,43,74,0.00%,0,0,57.70%,45,78,198,9,8,29,21,52,131
托尼-斯内尔,34,521,38.10%,48,126,36.00%,31,86,100.00%,4,4,50,21,6,9,11,47,131
特里-米尔斯,17,409,40.20%,49,122,35.40%,17,48,64.00%,16,25,73,20,10,2,14,53,131
罗伊斯-奥尼尔,16,395,48.50%,49,101,35.30%,18,51,65.20%,15,23,61,23,12,6,26,45,131
吉米-琼斯,18,371,46.80%,51,109,0.00%,0,0,87.50%,28,32,39,31,26,1,0,36,130
布克-约翰逊,20,382,42.40%,53,125,0.00%,0,2,72.70%,24,33,49,30,12,5,21,46,130
李-诺莱科,14,0,38.80%,50,129,0.00%,0,0,62.50%,30,48,0,23,0,0,0,57,130
约翰-布洛克,21,288,44.60%,50,112,0.00%,0,0,76.90%,30,39,75,9,0,0,0,38,130
约翰-麦克诺夫斯基,13,0,39.80%,45,113,0.00%,0,0,74.10%,40,54,0,25,0,0,0,23,130
Med0Park,26,418,31.40%,38,121,0.00%,0,0,68.80%,53,77,74,35,0,0,0,61,129
